,0,14,2
26,26_F,0,1
178,178_CMG,2,0
291,291_AAPL,0,1
150,150_JWN,1,0
300,300_JPM,0,1
107,107_CMG,1,0
331,331_JWN,0,2
154,154_AAPL,0,2
35,35_AAPL,1,0
33,33_FB,0,1
52,52_AAPL,2,0
187,187_CMG,1,0
104,104_JWN,1,0
157,157_F,0,2
148,148_AMZN,1,0
300,300_JWN,0,1
218,218_AAPL,2,0
161,161_AMZN,0,1
0,0_AMZN,0,1
276,276_F,0,1
90,90_CMG,2,0
174,174_AAPL,2,1
147,147_JWN,0,2
202,202_AAPL,2,0
21,21_UA,0,1
184,184_JWN,0,1
130,130_AAPL,0,2
190,190_UA,2,0
238,238_AMZN,1,0
171,171_CMG,1,0
288,288_AAPL,0,1
141,141_JWN,0,2
12,12_CMG,0,2
39,39_JWN,0,1
77,77_F,0,2
159,159_AMZN,0,1
108,108_AMZN,1,0
300,300_KO,0,1
21,21_JWN,0,2
242,242_KO,1,0
208,208_AAPL,2,0
70,70_F,0,1
295,295_JPM,0,2
230,230_JPM,0,1
244,244_JWN,0,1
99,99_F,0,2
37,37_JPM,2,0
281,281_AAPL,0,1
168,168_AMZN,0,1
179,179_JPM,0,2
211,211_JPM,0,2
